rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Andrew Wiggins,Mia,*,F,30.9,36,31.7,20.3,11.8,80,0.763,303,0.505,168,0.399,0.538,0.561,15.8,4.8,2.8,1.2,1.1,1.8,20.6,18.6,23.4,7.5,111.7,109.7,2025-2026
,Nikola Jovic,Mia,*,F,22.6,29,19.7,21,20,68,0.779,102,0.48,110,0.309,0.472,0.523,8.7,3.8,2.9,0.7,0.4,1.8,12.6,11.6,15.4,9.3,100.6,106.3,2025-2026
,Bam Adebayo,Mia,*,C-F,28.5,32,30.8,22.7,12,132,0.758,308,0.506,126,0.333,0.505,0.547,16.8,9.7,2.7,1,0.8,1.8,26.5,19.5,29.2,9.9,109.6,107.3,2025-2026
,Norman Powell,Mia,*,G,32.6,34,30.8,27.6,10.7,193,0.855,308,0.542,251,0.414,0.578,0.63,23.9,3.8,2.6,1.3,0.2,2,27.6,26.5,30.3,8,118.7,109.6,2025-2026
,Davion Mitchell,Mia,*,G,27.4,38,29.5,13.6,18.1,40,0.6,185,0.524,108,0.398,0.551,0.559,9.1,2.5,7.3,1.2,0.1,1.7,11.6,16.5,18.9,7.5,118.5,108.7,2025-2026
,Jaime Jaquez Jr.,Mia,*,G,24.9,37,28.8,22.4,15.3,127,0.748,387,0.574,62,0.258,0.548,0.581,15.9,5.1,4.6,0.8,0.2,2.2,21,20.5,25.6,10,114.5,110,2025-2026
,Kel'el Ware,Mia,*,C,21.7,40,24.5,17,10.5,64,0.828,228,0.61,113,0.425,0.619,0.643,11.9,10.1,0.6,0.9,1.2,1,21.9,12.4,22.5,6.8,130.2,105.1,2025-2026
,Simone Fontecchio,Mia,*,F,30.1,37,16.1,20.5,11.6,55,0.8,71,0.451,173,0.364,0.518,0.554,8,2.7,1.4,0.5,0.1,0.9,10.7,9.4,12.1,7.7,108.8,108,2025-2026
,Dru Smith,Mia,*,G,28,40,16.9,15.8,16.2,63,0.81,114,0.509,82,0.341,0.51,0.561,6.3,2.4,2.6,1.5,0.3,1,8.7,8.9,11.3,8,116.6,105.2,2025-2026
,Pelle Larsson,Mia,*,G,24.9,32,22.3,16.3,12.6,73,0.753,126,0.556,96,0.344,0.538,0.578,9.2,2.7,3.1,0.6,0.3,1,11.9,12.3,15,7.6,119.1,109.9,2025-2026
,Franz Wagner,Orl,*,F,24.4,24,33.4,26,10.1,164,0.823,282,0.535,100,0.36,0.537,0.6,22.7,6.1,3.7,1.2,0.4,1.8,28.8,26.4,32.5,9.6,122.4,110.5,2025-2026
,Paolo Banchero,Orl,*,F,23.2,30,33.7,27.2,15.5,233,0.755,361,0.512,107,0.252,0.482,0.549,20.9,8.7,4.9,0.6,0.7,2.9,29.6,25.8,34.5,11.4,109.6,108.8,2025-2026
,Wendell Carter Jr.,Orl,*,C-F,26.8,38,30.3,15.7,13.3,124,0.758,201,0.612,125,0.352,0.58,0.62,12.4,7.7,2.1,0.7,0.7,1.3,20.1,14.5,22.2,7.7,126.2,104,2025-2026
,Desmond Bane,Orl,*,G,27.6,40,33.8,24,12.6,154,0.929,419,0.506,198,0.338,0.506,0.561,19.2,4.6,4.5,0.8,0.5,2.2,23.8,23.7,28.3,8.7,114.2,109.9,2025-2026
,Jalen Suggs,Orl,*,G,24.6,23,25.4,25.1,19.2,70,0.857,124,0.621,133,0.331,0.556,0.601,15,3.7,4.7,1.9,0.5,2.7,18.7,19.7,23.3,10.1,112.7,103.3,2025-2026
